Investment_Name,Type,Expected_Return,Risk_Level,Liquidity,Min_Investment_Rs,Lock_in_Period,Description,Suitability_for_Gig_Workers,Safe_For_High_Volatility,Min_Monthly_Earning_Rs,Max_Debt_Rs,Min_Savings_Rs,Gig_Priority
Post Office Savings Account,Government Small Savings,4.0% p.a.,Very Low,High,500,None,"Basic savings account with easy access and sovereign guarantee.","Ultra-safe daily cash parking for gig workers with irregular income",Yes,0,999999,0,5
Post Office 1-Year Time Deposit,Government Small Savings,6.9% p.a.,Low,Low,1000,1 year,"Short-term government time deposit.","Quick safety net for high-volatility gig income",Yes,0,999999,0,5
Post Office 2-Year Time Deposit,Government Small Savings,7.0% p.a.,Low,Low,1000,2 years,"Medium-short government time deposit.","Stable parking of small surplus",Yes,0,999999,0,5
Post Office 3-Year Time Deposit,Government Small Savings,7.1% p.a.,Low,Low,1000,3 years,"Medium-term safe government deposit.","Build emergency buffer in Survival phase",Yes,5000,999999,0,5
Post Office 5-Year Time Deposit,Government Small Savings,7.5% p.a.,Low,Low,1000,5 years,"Longer-term government time deposit.","Conservative growth when financial health improves",No,10000,999999,5000,4
Post Office Recurring Deposit (5-Year),Government Small Savings,6.7% p.a.,Low,Medium,100 per month,5 years,"Monthly recurring deposit scheme.","Ideal for gig workers building habit with irregular income",Yes,0,999999,0,5
Post Office Monthly Income Scheme (POMIS),Government Small Savings,7.4% p.a.,Low,Medium,1000,5 years,"Monthly interest payout scheme (max ₹9 lakh single account).","Helps smooth irregular gig cash flow with steady income",Yes,0,999999,0,5
Mahila Samman Savings Certificate,Government Small Savings,7.5% p.a.,Low,Low,1000,2 years,"Short-term women-focused government scheme (₹2 lakh max).","Quick safe growth for female gig workers in Stability phase",No,0,999999,0,4
Public Provident Fund (PPF),Government Small Savings,7.1% p.a. (tax-free),Low,Low,500,15 years (partial after 7),"Long-term EEE tax-benefit savings scheme.","Capital protection + tax-free growth despite volatility",No,0,999999,0,4
National Savings Certificate (NSC),Government Small Savings,7.7% p.a.,Low,Low,1000,5 years,"5-year government instrument with 80C deduction.","Medium-term safety net when health score ≥ 60",No,10000,999999,5000,4
Kisan Vikas Patra (KVP),Government Small Savings,7.5% p.a. (doubles ~115 months),Low,Low,1000,~9.6 years,"Government scheme that doubles investment.","Long-term guaranteed growth for lower volatility",No,15000,50000,10000,3
Sukanya Samriddhi Yojana (SSY),Government Small Savings,8.2% p.a.,Low,Low,250,21 years (partial after 18),"Girl child savings with tax benefits.","Family-focused long-term option if applicable",No,0,999999,5000,3
Senior Citizens Savings Scheme (SCSS),Government Small Savings,8.2% p.a.,Low,Low,1000,5 years,"Senior citizen scheme (age 60+).","Higher yield safety for older gig workers or family",No,10000,999999,10000,3
RBI Floating Rate Savings Bonds,Government Savings Bond,8.05% p.a. (floating, resets every 6 months),Low,Medium,1000,7 years,"Sovereign floating rate bond linked to NSC +0.35%.","Inflation-beating safety in Stability phase",No,10000,999999,5000,4
7.75% GOI Savings Bond (legacy reference),Government Savings Bond,7.75% p.a. (fixed),Low,Low,1000,7 years,"Older fixed-rate government retail bond.","Safe long-term option with sovereign guarantee",No,10000,999999,5000,3
Bharat Bond ETF - April 2030,ETF - Government Debt,~7.0% p.a. (YTM),Low,High,1000,Maturity 2030,"AAA-rated PSU bonds ETF, government-backed.","Stable tradable debt with good liquidity",Yes,5000,999999,5000,4
Bharat Bond ETF - April 2031,ETF - Government Debt,~7.0% p.a. (YTM),Low,High,1000,Maturity 2031,"AAA-rated PSU bonds ETF.","Stable tradable debt with liquidity",Yes,5000,999999,5000,4
